Nombre de génération, Nombre d'étapes, x, y, z, seuil
598,211,4747,-2213,16818,19334
599,38,3485,12388,12900,28557
600,866,24205,12831,-12396,24500
601,95,6542,8516,-2523,12456
602,31,13796,3409,2598,19792
603,234,21210,895,6867,28935
605,2337,11016,11869,-19506,3356
607,13,6925,2852,1808,11532
608,1568,-24704,-6331,36118,5060
609,313,4471,5847,14954,25231
610,54,957,426,5232,6560
611,74,634,3225,436,4272
612,21,11159,8144,7191,26432
613,44,1567,3053,2311,6900
614,9,4447,8881,10526,23666
615,561,20573,11838,-8921,23372
616,35,9453,5608,9257,24241
617,28,6086,6570,7744,20282
618,339,25187,-6039,7636,26648
620,66,5688,5485,2396,13492
621,85,4684,6956,5373,16994
622,157,1696,-630,6061,7061
623,111,-1059,8034,5892,12851
624,27,3935,1888,5191,10924
625,11,9974,10502,2755,23218
626,16,3703,7652,8809,20023
627,17,7629,5977,6219,19658
628,15,5802,7252,2313,15332
629,191,2899,-6076,7947,4764
630,26,6086,4801,2463,13310
631,457,-7846,20610,8745,21480
632,21,2101,8905,11668,22551
633,18,9626,2282,10900,22761
634,966,-18145,15423,10502,7722
635,51,9279,12024,5559,26707
636,32,5857,5338,5390,16474
637,36,10032,4814,7053,21809
638,574,9260,2922,-2831,9327
639,20,5600,4916,7005,17507
640,94,659,5491,5405,11533
641,12,9535,3566,5146,18214
642,130,-4119,7175,7395,10419
643,826,-12206,32393,-7510,12670
644,28,10263,6572,1416,18117
645,13,7712,9736,7599,24929
646,825,-18079,15742,13410,11028
647,723,543,-665,4019,3871
648,109,6731,4523,2979,14163
649,171,12264,-2826,-499,8887
650,198,8203,8509,11177,27672
651,46,9286,9954,7704,26855
652,10,8312,2056,9968,20135
653,207,-4002,10841,9460,16299
654,80,2213,3200,-1123,4262
655,3,8467,2914,3382,14713
656,6,8445,4381,9418,22107
657,388,-4676,14539,-287,9563
658,248,10487,-362,-3352,6741
659,19,11583,7460,2398,21249
660,28,-2573,7444,-1330,3531
661,54,6743,12868,10544,29991
662,26,8189,9142,9388,26615
663,159,7558,-916,2446,9077
664,212,12314,6128,-1387,16918
665,52,12532,5773,10262,28468
666,98,-2622,6017,5897,9227
667,66,8098,-1725,6812,13178
668,54,4883,5430,3535,13760
669,45,11146,8343,9517,28906
670,182,8548,4613,5100,18110
671,29,8560,8512,7382,24447
672,48,3043,9689,6100,18728
673,244,3481,1719,15622,20776
674,40,3978,9051,6079,18938
676,43,7895,9570,11642,28996
677,162,-3146,10533,5227,12536
678,28,3211,11361,12687,27240
679,26,6625,5591,11186,23232
680,121,645,2865,10606,14034
681,43,110,3664,5316,9044
682,164,3175,-580,14804,17287
683,30,8776,11227,8670,28662
684,73,6548,-1747,11359,16061
685,483,-8908,-4471,23473,10009
687,70,5975,-136,1910,7698
688,48,7511,4725,13566,25706
689,47,11014,3895,12161,26947
690,346,16623,20914,-7701,29608
691,11,6897,3067,5759,15632
694,43,693,-52,3284,3900
695,335,19970,-2743,-2890,14260
696,124,1821,3502,6625,11917
697,1221,-30726,-10758,47732,6210
698,33,13961,5014,10976,29707
699,183,11101,-5755,2238,7531
700,42,11914,4533,9848,26270
701,2613,-19865,836,22420,3363
702,23,2797,5130,7254,15173
703,978,31442,-19444,-8340,3650
704,106,1070,1637,11527,14110
705,40,9692,5658,7020,22303
706,194,3193,6895,13649,23595
707,41,5409,15761,7267,28435
708,127,7670,5536,1258,14392
709,113,5593,1771,2206,9488
710,332,-3694,10089,1030,7408
711,18,3638,8601,9518,21645
712,89,2324,1881,2518,6705
713,24,3444,10465,7343,21058
714,27,6822,10393,6012,23103
715,157,2102,7411,4610,14098
716,103,9080,-1488,3722,11258
717,102,-1767,4604,7257,10071
718,242,832,-2117,6507,5202
719,202,1120,12456,12165,25656
720,9,3370,3339,10395,17032
721,58,8756,11632,9758,29861
722,15,1014,11193,6769,18866
723,36,10639,6867,8022,25406
724,38,7216,12505,5142,24721
725,892,16931,-30612,17952,4229
726,1009,5109,-32169,30448,3387
727,460,2070,3036,2643,7679
728,172,4918,8727,9228,22648
729,25,5198,4802,2985,12929
730,9,8538,8797,898,18209
731,15,10694,6742,2086,19522
732,361,403,-10541,14856,4683
733,79,6742,10613,6264,23480
734,184,10872,11808,5730,28188
735,1515,23028,-8864,-10398,3741
736,18,1687,3579,10419,15598
737,31,4367,11803,4844,20992
738,135,685,1491,7838,9977
739,93,6276,5265,210,11699
740,9,4364,7097,3770,15114
741,52,9637,8444,11784,29630
743,8,5451,3101,5630,14164
744,68,2181,1773,7142,11036
745,310,10622,9343,8711,28608
746,42,7553,9818,5975,23237
747,25,6752,1603,9339,17535
748,101,7863,4487,567,12844
749,350,149,13304,-8722,4717
750,171,4674,2277,-3273,3666
752,201,-689,1943,2640,3882
753,48,5145,-2972,5914,8012
754,233,3842,11650,12538,28024
755,255,6903,22758,-1996,27470
757,352,2179,96,11400,13602
758,254,3487,22478,-3012,22855
759,2,5954,2595,5185,13663
760,573,-1777,19819,-10616,7385
761,3,1534,4120,8892,14537
762,144,7561,5146,7287,19958
763,5,2543,8940,4480,15830
764,210,14799,2476,-1562,15653
765,55,6232,11584,11900,29661
766,28,7399,8297,9055,24693
767,40,11969,7886,9036,28696
768,244,14118,6407,-4305,16115
769,197,-5058,11442,3806,10163
770,18,4146,3331,7230,14657
771,227,879,7400,-3437,4802
